2016-05-13 14:26:36	Case 3. analog input -> digital output
2016-05-13 14:26:41	Turn the potentiometer
2016-05-13 14:26:41	Value: 1	turn on 1 light(s)
2016-05-13 14:26:41	Value: 2	turn on 1 light(s)
2016-05-13 14:26:41	Value: 3	turn on 1 light(s)
2016-05-13 14:26:41	Value: 4	turn on 1 light(s)
2016-05-13 14:26:41	Value: 8	turn on 1 light(s)
2016-05-13 14:26:41	Value: 11	turn on 1 light(s)
2016-05-13 14:26:41	Value: 15	turn on 1 light(s)
2016-05-13 14:26:41	Value: 18	turn on 1 light(s)
2016-05-13 14:26:41	Value: 21	turn on 1 light(s)
2016-05-13 14:26:41	Value: 24	turn on 1 light(s)
2016-05-13 14:26:41	Value: 28	turn on 1 light(s)
2016-05-13 14:26:41	Value: 32	turn on 2 light(s)
2016-05-13 14:26:41	Value: 37	turn on 2 light(s)
2016-05-13 14:26:41	Value: 40	turn on 2 light(s)
2016-05-13 14:26:41	Value: 45	turn on 2 light(s)
2016-05-13 14:26:41	Value: 50	turn on 2 light(s)
2016-05-13 14:26:41	Value: 54	turn on 2 light(s)
2016-05-13 14:26:42	Value: 58	turn on 2 light(s)
2016-05-13 14:26:42	Value: 62	turn on 2 light(s)
2016-05-13 14:26:42	Value: 65	turn on 3 light(s)
2016-05-13 14:26:42	Value: 69	turn on 3 light(s)
2016-05-13 14:26:42	Value: 72	turn on 3 light(s)
2016-05-13 14:26:42	Value: 75	turn on 3 light(s)
2016-05-13 14:26:42	Value: 78	turn on 3 light(s)
2016-05-13 14:26:42	Value: 81	turn on 3 light(s)
2016-05-13 14:26:42	Value: 83	turn on 3 light(s)
2016-05-13 14:26:42	Value: 86	turn on 3 light(s)
2016-05-13 14:26:42	Value: 88	turn on 3 light(s)
2016-05-13 14:26:42	Value: 90	turn on 3 light(s)
2016-05-13 14:26:42	Value: 93	turn on 3 light(s)
2016-05-13 14:26:42	Value: 95	turn on 3 light(s)
2016-05-13 14:26:42	Value: 96	turn on 4 light(s)
2016-05-13 14:26:42	Value: 97	turn on 4 light(s)
2016-05-13 14:26:42	Value: 98	turn on 4 light(s)
2016-05-13 14:26:42	Value: 99	turn on 4 light(s)
2016-05-13 14:26:42	Value: 98	turn on 4 light(s)
2016-05-13 14:26:42	Value: 99	turn on 4 light(s)
2016-05-13 14:26:42	Value: 98	turn on 4 light(s)
2016-05-13 14:26:42	Value: 99	turn on 4 light(s)
2016-05-13 14:26:42	Value: 98	turn on 4 light(s)
2016-05-13 14:26:42	Value: 99	turn on 4 light(s)
2016-05-13 14:26:42	Value: 97	turn on 4 light(s)
2016-05-13 14:26:42	Value: 95	turn on 3 light(s)
2016-05-13 14:26:42	Value: 92	turn on 3 light(s)
2016-05-13 14:26:42	Value: 89	turn on 3 light(s)
2016-05-13 14:26:42	Value: 85	turn on 3 light(s)
2016-05-13 14:26:42	Value: 80	turn on 3 light(s)
2016-05-13 14:26:42	Value: 75	turn on 3 light(s)
2016-05-13 14:26:42	Value: 69	turn on 3 light(s)
2016-05-13 14:26:42	Value: 64	turn on 3 light(s)
2016-05-13 14:26:42	Value: 58	turn on 2 light(s)
2016-05-13 14:26:42	Value: 53	turn on 2 light(s)
2016-05-13 14:26:43	Value: 47	turn on 2 light(s)
2016-05-13 14:26:43	Value: 41	turn on 2 light(s)
2016-05-13 14:26:43	Value: 37	turn on 2 light(s)
2016-05-13 14:26:43	Value: 32	turn on 2 light(s)
2016-05-13 14:26:43	Value: 28	turn on 1 light(s)
2016-05-13 14:26:43	Value: 23	turn on 1 light(s)
2016-05-13 14:26:43	Value: 21	turn on 1 light(s)
2016-05-13 14:26:43	Value: 18	turn on 1 light(s)
2016-05-13 14:26:43	Value: 16	turn on 1 light(s)
2016-05-13 14:26:43	Value: 13	turn on 1 light(s)
2016-05-13 14:26:43	Value: 11	turn on 1 light(s)
2016-05-13 14:26:43	Value: 9	turn on 1 light(s)
2016-05-13 14:26:43	Value: 6	turn on 1 light(s)
2016-05-13 14:26:43	Value: 3	turn on 1 light(s)
2016-05-13 14:26:43	Value: 0	turn on 0 light(s)
2016-05-13 14:26:43	Value: 1	turn on 1 light(s)
2016-05-13 14:26:43	Value: 2	turn on 1 light(s)
2016-05-13 14:26:43	Value: 3	turn on 1 light(s)
2016-05-13 14:26:44	Value: 4	turn on 1 light(s)
2016-05-13 14:26:44	Value: 9	turn on 1 light(s)
2016-05-13 14:26:44	Value: 12	turn on 1 light(s)
2016-05-13 14:26:44	Value: 17	turn on 1 light(s)
2016-05-13 14:26:44	Value: 22	turn on 1 light(s)
2016-05-13 14:26:44	Value: 26	turn on 1 light(s)
2016-05-13 14:26:44	Value: 32	turn on 2 light(s)
2016-05-13 14:26:44	Value: 37	turn on 2 light(s)
2016-05-13 14:26:44	Value: 43	turn on 2 light(s)
2016-05-13 14:26:44	Value: 49	turn on 2 light(s)
2016-05-13 14:26:44	Value: 55	turn on 2 light(s)
2016-05-13 14:26:44	Value: 61	turn on 2 light(s)
2016-05-13 14:26:44	Value: 66	turn on 3 light(s)
2016-05-13 14:26:44	Value: 72	turn on 3 light(s)
2016-05-13 14:26:44	Value: 77	turn on 3 light(s)
2016-05-13 14:26:44	Value: 82	turn on 3 light(s)
2016-05-13 14:26:44	Value: 87	turn on 3 light(s)
2016-05-13 14:26:44	Value: 92	turn on 3 light(s)
2016-05-13 14:26:44	Value: 96	turn on 4 light(s)
2016-05-13 14:26:44	Value: 101	turn on 4 light(s)
2016-05-13 14:26:44	Value: 105	turn on 4 light(s)
2016-05-13 14:26:44	Value: 109	turn on 4 light(s)
2016-05-13 14:26:44	Value: 113	turn on 4 light(s)
2016-05-13 14:26:44	Value: 116	turn on 4 light(s)
2016-05-13 14:26:44	Value: 120	turn on 4 light(s)
2016-05-13 14:26:44	Value: 123	turn on 4 light(s)
2016-05-13 14:26:44	Value: 127	turn on 4 light(s)
2016-05-13 14:26:44	Value: 130	turn on 5 light(s)
2016-05-13 14:26:44	Value: 134	turn on 5 light(s)
2016-05-13 14:26:44	Value: 139	turn on 5 light(s)
2016-05-13 14:26:44	Value: 145	turn on 5 light(s)
2016-05-13 14:26:45	Value: 150	turn on 5 light(s)
2016-05-13 14:26:45	Value: 156	turn on 5 light(s)
2016-05-13 14:26:45	Value: 163	turn on 6 light(s)
2016-05-13 14:26:45	Value: 169	turn on 6 light(s)
2016-05-13 14:26:45	Value: 175	turn on 6 light(s)
2016-05-13 14:26:45	Value: 180	turn on 6 light(s)
2016-05-13 14:26:45	Value: 187	turn on 6 light(s)
2016-05-13 14:26:45	Value: 192	turn on 7 light(s)
2016-05-13 14:26:45	Value: 198	turn on 7 light(s)
2016-05-13 14:26:45	Value: 204	turn on 7 light(s)
2016-05-13 14:26:45	Value: 209	turn on 7 light(s)
2016-05-13 14:26:45	Value: 213	turn on 7 light(s)
2016-05-13 14:26:45	Value: 218	turn on 7 light(s)
2016-05-13 14:26:45	Value: 222	turn on 7 light(s)
2016-05-13 14:26:45	Value: 226	turn on 8 light(s)
2016-05-13 14:26:45	Value: 231	turn on 8 light(s)
2016-05-13 14:26:45	Value: 235	turn on 8 light(s)
2016-05-13 14:26:45	Value: 239	turn on 8 light(s)
2016-05-13 14:26:45	Value: 242	turn on 8 light(s)
2016-05-13 14:26:45	Value: 245	turn on 8 light(s)
2016-05-13 14:26:45	Value: 248	turn on 8 light(s)
2016-05-13 14:26:45	Value: 250	turn on 8 light(s)
2016-05-13 14:26:45	Value: 251	turn on 8 light(s)
2016-05-13 14:26:45	Value: 250	turn on 8 light(s)
2016-05-13 14:26:45	Value: 249	turn on 8 light(s)
2016-05-13 14:26:45	Value: 248	turn on 8 light(s)
2016-05-13 14:26:45	Value: 244	turn on 8 light(s)
2016-05-13 14:26:45	Value: 238	turn on 8 light(s)
2016-05-13 14:26:45	Value: 232	turn on 8 light(s)
2016-05-13 14:26:45	Value: 224	turn on 8 light(s)
2016-05-13 14:26:45	Value: 217	turn on 7 light(s)
2016-05-13 14:26:46	Value: 211	turn on 7 light(s)
2016-05-13 14:26:46	Value: 205	turn on 7 light(s)
2016-05-13 14:26:46	Value: 198	turn on 7 light(s)
2016-05-13 14:26:46	Value: 193	turn on 7 light(s)
2016-05-13 14:26:46	Value: 187	turn on 6 light(s)
2016-05-13 14:26:46	Value: 180	turn on 6 light(s)
2016-05-13 14:26:46	Value: 175	turn on 6 light(s)
2016-05-13 14:26:46	Value: 170	turn on 6 light(s)
2016-05-13 14:26:46	Value: 163	turn on 6 light(s)
2016-05-13 14:26:46	Value: 157	turn on 5 light(s)
2016-05-13 14:26:46	Value: 152	turn on 5 light(s)
2016-05-13 14:26:46	Value: 147	turn on 5 light(s)
2016-05-13 14:26:46	Value: 143	turn on 5 light(s)
2016-05-13 14:26:46	Value: 138	turn on 5 light(s)
2016-05-13 14:26:46	Value: 134	turn on 5 light(s)
2016-05-13 14:26:46	Value: 131	turn on 5 light(s)
2016-05-13 14:26:46	Value: 128	turn on 5 light(s)
2016-05-13 14:26:46	Value: 126	turn on 4 light(s)
2016-05-13 14:26:46	Value: 124	turn on 4 light(s)
2016-05-13 14:26:46	Value: 122	turn on 4 light(s)
2016-05-13 14:26:46	Value: 120	turn on 4 light(s)
2016-05-13 14:26:46	Value: 118	turn on 4 light(s)
2016-05-13 14:26:46	Value: 117	turn on 4 light(s)
2016-05-13 14:26:46	Value: 115	turn on 4 light(s)
2016-05-13 14:26:46	Value: 113	turn on 4 light(s)
2016-05-13 14:26:46	Value: 112	turn on 4 light(s)
2016-05-13 14:26:46	Value: 110	turn on 4 light(s)
2016-05-13 14:26:46	Value: 109	turn on 4 light(s)
2016-05-13 14:26:46	Value: 108	turn on 4 light(s)
2016-05-13 14:26:46	Value: 107	turn on 4 light(s)
2016-05-13 14:26:47	Value: 106	turn on 4 light(s)
2016-05-13 14:26:47	Value: 107	turn on 4 light(s)
2016-05-13 14:26:47	Value: 106	turn on 4 light(s)
2016-05-13 14:26:47	Value: 107	turn on 4 light(s)
2016-05-13 14:26:47	Value: 109	turn on 4 light(s)
2016-05-13 14:26:47	Value: 112	turn on 4 light(s)
2016-05-13 14:26:47	Value: 117	turn on 4 light(s)
2016-05-13 14:26:47	Value: 124	turn on 4 light(s)
2016-05-13 14:26:47	Value: 132	turn on 5 light(s)
2016-05-13 14:26:47	Value: 141	turn on 5 light(s)
2016-05-13 14:26:47	Value: 149	turn on 5 light(s)
2016-05-13 14:26:47	Value: 156	turn on 5 light(s)
2016-05-13 14:26:47	Value: 162	turn on 6 light(s)
2016-05-13 14:26:47	Value: 168	turn on 6 light(s)
2016-05-13 14:26:47	Value: 174	turn on 6 light(s)
2016-05-13 14:26:47	Value: 179	turn on 6 light(s)
2016-05-13 14:26:47	Value: 185	turn on 6 light(s)
2016-05-13 14:26:47	Value: 190	turn on 6 light(s)
2016-05-13 14:26:47	Value: 196	turn on 7 light(s)
2016-05-13 14:26:47	Value: 202	turn on 7 light(s)
2016-05-13 14:26:47	Value: 207	turn on 7 light(s)
2016-05-13 14:26:47	Value: 212	turn on 7 light(s)
2016-05-13 14:26:47	Value: 219	turn on 7 light(s)
2016-05-13 14:26:47	Value: 225	turn on 8 light(s)
2016-05-13 14:26:47	Value: 231	turn on 8 light(s)
2016-05-13 14:26:47	Value: 237	turn on 8 light(s)
2016-05-13 14:26:47	Value: 243	turn on 8 light(s)
2016-05-13 14:26:47	Value: 248	turn on 8 light(s)
2016-05-13 14:26:47	Value: 252	turn on 8 light(s)
2016-05-13 14:26:47	Value: 254	turn on 8 light(s)
2016-05-13 14:26:47	Value: 255	turn on 8 light(s)
